state,year,annual_median_wage,poverty_rate,opioid_overdose,Median_Rent,overall_homeless_per_capita,drug_overdose_deaths_per_capita,total_vacant_units_per_capita,totalsubsidized_units_per_capita
West Virginia,2014,29410,0.1794,554,629,0.0011,0.0003,0.0807,0.0184
Wisconsin,2014,34350,0.1293,627,698,0.0011,0.0001,0.0592,0.0132
Wyoming,2014,37770,0.1201,54,726,0.0013,0.0002,0.0611,0.0097
Alabama,2015,31550,0.1889,282,657,0.0008,0.0002,0.0767,0.0192
Alaska,2015,46420,0.1033,86,1053,0.0027,0.0002,0.0804,0.0104
Arizona,2015,34680,0.1734,671,797,0.0014,0.0002,0.0683,0.006
Arkansas,2015,29420,0.1941,203,620,0.0009,0.0001,0.0681,0.0171
California,2015,39830,0.1534,2018,1116,0.003,0.0001,0.0281,0.0125
Colorado,2015,38800,0.1156,495,851,0.0018,0.0002,0.043,0.0112
Connecticut,2015,43830,0.1027,685,1180,0.0011,0.0002,0.0425,0.0229
Delaware,2015,37750,0.1353,133,1042,0.001,0.0002,0.0735,0.0137
Florida,2015,31810,0.157,1838,842,0.0018,0.0002,0.0865,0.0097
Georgia,2015,33430,0.1709,858,686,0.0014,0.0001,0.0517,0.0134
Hawaii,2015,38750,0.109,62,1218,0.0054,0.0001,0.0608,0.0159
Idaho,2015,31860,0.1413,90,674,0.0012,0.0001,0.0576,0.0075
Illinois,2015,37320,0.1374,1381,714,0.001,0.0001,0.0407,0.0179
Indiana,2015,32910,0.1507,535,695,0.0009,0.0002,0.0494,0.0135
Iowa,2015,33650,0.1288,170,633,0.001,0.0001,0.0391,0.0131
Kansas,2015,33700,0.1294,150,669,0.0009,0.0001,0.0489,0.0121
Kentucky,2015,32340,0.1821,885,620,0.001,0.0003,0.0544,0.0189
Louisiana,2015,31980,0.1942,287,719,0.0009,0.0002,0.0615,0.0206
Maine,2015,34710,0.1288,238,768,0.0018,0.0002,0.1387,0.02
Maryland,2015,41860,0.1011,1087,1101,0.0014,0.0002,0.0429,0.0166
Massachusetts,2015,45580,0.1132,1550,1160,0.0031,0.0003,0.0421,0.0284
Michigan,2015,35400,0.1588,1309,696,0.0011,0.0002,0.0697,0.0147
Minnesota,2015,38870,0.0997,338,723,0.0014,0.0001,0.0456,0.0163
Mississippi,2015,29000,0.2188,150,660,0.0007,0.0001,0.0658,0.0181
Missouri,2015,33380,0.1468,692,655,0.0011,0.0002,0.0613,0.0151
Montana,2015,31970,0.1455,48,685,0.0017,0.0001,0.0771,0.0134
Nebraska,2015,33840,0.1256,55,626,0.0015,0.0001,0.0406,0.0147
Nevada,2015,33700,0.1494,419,792,0.003,0.0002,0.0585,0.008
New Hampshire,2015,37280,0.0792,380,1022,0.0011,0.0003,0.0786,0.0159
New Jersey,2015,41320,0.1058,862,1276,0.0011,0.0002,0.0458,0.0193
New Mexico,2015,32320,0.2088,351,702,0.0013,0.0002,0.0733,0.0123
New York,2015,41600,0.1524,2166,940,0.0045,0.0001,0.0495,0.0307
North Carolina,2015,33100,0.1672,1171,707,0.0011,0.0002,0.0645,0.0123
North Dakota,2015,38170,0.1181,34,646,0.0017,0.0001,0.0655,0.0178
Ohio,2015,35030,0.149,2698,682,0.001,0.0003,0.0473,0.0193
Oklahoma,2015,32430,0.1626,427,650,0.001,0.0002,0.0628,0.0136
Oregon,2015,37080,0.1509,331,766,0.0033,0.0001,0.0412,0.0132
Pennsylvania,2015,36150,0.1291,1362,766,0.0012,0.0003,0.0506,0.0173
Rhode Island,2015,39050,0.1366,254,965,0.0011,0.0003,0.0521,0.0356
South Carolina,2015,31280,0.1653,554,694,0.0011,0.0002,0.072,0.0128
South Dakota,2015,30780,0.1295,27,665,0.0012,0.0001,0.0479,0.0162
Tennessee,2015,31820,0.168,1038,653,0.0014,0.0002,0.0549,0.0161
Texas,2015,34550,0.1579,1287,716,0.0009,0.0001,0.0425,0.0101
Utah,2015,33990,0.1135,448,715,0.001,0.0002,0.0359,0.0062
Vermont,2015,37040,0.0961,79,965,0.0024,0.0002,0.1152,0.0198
Virginia,2015,38180,0.1146,820,895,0.0008,0.0001,0.0433,0.0124
Washington,2015,42190,0.1265,692,825,0.0027,0.0002,0.0367,0.0122
West Virginia,2015,30240,0.1781,629,666,0.001,0.0004,0.082,0.0184
Wisconsin,2015,35110,0.1157,622,710,0.0011,0.0002,0.0585,0.0132
Wyoming,2015,38280,0.1024,46,734,0.0014,0.0002,0.0692,0.0097
Alabama,2016,32100,0.1729,343,646,0.0008,0.0002,0.0777,0.0188
Alaska,2016,47170,0.1056,94,1081,0.0026,0.0002,0.0839,0.0104
Arizona,2016,35470,0.165,769,822,0.0014,0.0002,0.0637,0.0059
Arkansas,2016,30130,0.1723,169,645,0.0008,0.0001,0.0709,0.0171
California,2016,40920,0.1438,2012,1182,0.003,0.0001,0.0285,0.0123
Colorado,2016,39710,0.108,536,892,0.0019,0.0002,0.0415,0.011
